,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
3293,LittleBigPlanet 3,PS3,Sony Computer Entertainment,Platform,N/A,0.20m,0.33m,0.01m,0.11m,18th Nov 14
1529,WWE '13,PS3,THQ,Sports,N/A,0.51m,0.62m,N/A,0.22m,30th Oct 12
561,BioShock,X360,2K Games,Shooter,9.6,1.65m,0.85m,0.05m,0.28m,21st Aug 07
1703,RollerCoaster Tycoon 2,PC,Atari,Strategy,7.3,1.19m,0.06m,N/A,N/A,15th Oct 02
505,Killzone: Shadow Fall,PS4,Sony Computer Entertainment,Shooter,9.0,0.89m,1.58m,0.08m,0.47m,15th Nov 13
3013,The Sims 2: Castaway,DS,Electronic Arts,Simulation,N/A,0.62m,0.04m,N/A,0.05m,22nd Oct 07
1950,Castlevania: Lords of Shadow,PS3,Konami,Action,8.1,0.50m,0.37m,0.10m,0.15m,05th Oct 10
1108,Toy Story 2: Buzz Lightyear to the Rescue!,PS,Activision,Platform,N/A,0.99m,0.64m,N/A,0.08m,30th Nov 99
3200,Final Fantasy Crystal Chronicles: Ring of Fates,DS,Square Enix,Role-Playing,7.7,0.22m,0.01m,0.42m,0.02m,11th Mar 08
2808,Boxing,2600,Activision,Fighting,N/A,0.72m,0.04m,N/A,0.01m,17th Jun 80
3587,XCOM: Enemy Unknown,PS3,2K Games,Strategy,9.1,0.25m,0.24m,N/A,0.10m,09th Oct 12
1316,Sonic Rivals 2,PSP,Sega,Racing,6.4,0.44m,0.70m,N/A,0.37m,13th Nov 07
2279,LEGO Pirates of the Caribbean: The Video Game,PS3,Disney Interactive Studios,Action,7.4,0.36m,0.44m,N/A,0.16m,10th May 11
3603,Harvest Moon: Friends of Mineral Town,GBA,Natsume,Simulation,7.6,0.34m,0.13m,0.11m,0.01m,17th Nov 03
1577,Doom (2016),XOne,Bethesda Softworks,Shooter,N/A,0.72m,0.49m,N/A,0.12m,13th May 16
496,LEGO Batman: The Videogame,DS,Warner Bros. Interactive,Adventure,7.8,1.75m,1.02m,N/A,0.29m,23rd Sep 08
2317,NCAA Football 2000,PS,EA Sports,Sports,N/A,0.53m,0.36m,N/A,0.06m,30th Jun 99
1805,Metal Gear Solid: Portable Ops,PSP,Konami,Action,8.7,0.38m,0.35m,0.38m,0.09m,05th Dec 06
803,Star Wars: Knights of the Old Republic,XB,LucasArts,Role-Playing,9.4,1.68m,0.44m,N/A,0.08m,17th Jul 03
1831,Soviet Strike,PS,Electronic Arts,Simulation,N/A,0.65m,0.44m,N/A,0.08m,31st Oct 96
1726,Crash Bandicoot: The Wrath of Cortex,XB,Universal Interactive,Platform,N/A,0.59m,0.57m,N/A,0.07m,15th Apr 02
2379,Overwatch,PC,Blizzard Entertainment,Shooter,9.5,0.36m,0.49m,N/A,0.07m,24th May 16
21,Super Mario Land,GB,Nintendo,Platform,N/A,10.83m,2.71m,4.18m,0.42m,01st Aug 89
975,Star Wars Rogue Leader: Rogue Squadron II,GC,LucasArts,Simulation,9.2,1.03m,0.75m,0.03m,0.09m,09th Nov 01
3049,NCAA Football 09,X360,EA Sports,Sports,N/A,0.65m,N/A,N/A,0.05m,15th Jul 08
3162,NHL 13,X360,Electronic Arts,Sports,8.2,0.51m,0.11m,N/A,0.06m,11th Sep 12
2067,Aliens vs Predator,X360,Sega,Shooter,6.0,0.55m,0.40m,N/A,0.11m,16th Feb 10
753,The Sims 3,X360,Electronic Arts,Simulation,8.0,1.28m,0.82m,0.00m,0.20m,26th Oct 10
196,Luigi's Mansion: Dark Moon,3DS,Nintendo,Adventure,8.6,1.96m,1.79m,1.17m,0.34m,24th Mar 13
1467,Pokemon Super Mystery Dungeon,3DS,Nintendo,Role-Playing,N/A,0.51m,0.46m,0.35m,0.09m,20th Nov 15
513,The Sims: Livin Large,PC,Electronic Arts,Misc,N/A,1.67m,1.18m,N/A,0.13m,27th Aug 00
1901,Commando,NES,Capcom,Action,N/A,0.71m,0.16m,0.25m,0.03m,01st Nov 86
567,Monster Hunter 3G,3DS,Capcom,Role-Playing,7.6,0.46m,0.32m,1.96m,0.08m,19th Mar 13
3172,Fight Night Round 2004,XB,EA Sports,Fighting,N/A,0.46m,0.18m,N/A,0.03m,05th Apr 04
1887,Asteroids,PS,Activision,Shooter,N/A,0.64m,0.43m,N/A,0.07m,31st Oct 98
1441,Tiger Woods PGA Tour 09 All-Play,Wii,EA Sports,Sports,N/A,0.80m,0.48m,N/A,0.14m,26th Aug 08
296,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Racing,8.3,1.28m,1.83m,0.57m,0.52m,15th Apr 08
769,Madden NFL 12,PS3,EA Sports,Sports,7.8,1.93m,0.15m,N/A,0.18m,30th Aug 11
1198,Pikmin,GC,Nintendo,Strategy,8.1,0.78m,0.25m,0.56m,0.04m,03rd Dec 01
1580,Need for Speed Underground Rivals,PSP,Electronic Arts,Racing,7.6,0.69m,0.38m,0.02m,0.24m,14th Mar 05
243,God of War III,PS3,Sony Computer Entertainment,Action,9.2,2.74m,1.36m,0.12m,0.60m,16th Mar 10
1814,Spider-Man: The Movie,GC,Activision,Action,7.6,0.86m,0.27m,0.01m,0.04m,15th Apr 02
1629,Dark Souls II,PS3,Namco Bandai Games,Role-Playing,N/A,0.38m,0.35m,0.41m,0.15m,07th Apr 15
1219,Buzz! The Music Quiz,PS2,Sony Computer Entertainment,Misc,N/A,N/A,1.18m,N/A,0.43m,21st Oct 05
2255,The Witcher 2: Assassins of Kings,PC,Atari,Role-Playing,8.8,0.27m,0.56m,N/A,0.14m,17th May 11
3576,Beijing 2008,X360,Sega,Sports,N/A,0.15m,0.38m,N/A,0.06m,08th Jul 08
3349,LEGO Harry Potter Collection,PS4,Warner Bros. Interactive Entertainment,Action,N/A,0.07m,0.47m,N/A,0.09m,18th Oct 16
49,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo,Role-Playing,8.6,4.34m,2.72m,3.96m,0.76m,14th Mar 10
706,NBA 2K16,XOne,2K Sports,Sports,8.3,2.01m,0.15m,N/A,0.25m,29th Sep 15
2825,Need for Speed: Undercover,PSP,Electronic Arts,Racing,5.4,0.23m,0.32m,0.03m,0.19m,17th Nov 08
1257,LEGO Pirates of the Caribbean: The Video Game,Wii,Disney Interactive Studios,Action,7.5,0.73m,0.69m,N/A,0.15m,10th May 11
932,Just Cause 3,PS4,Square Enix,Action-Adventure,7.5,0.53m,1.06m,0.08m,0.30m,01st Dec 15
2167,NBA 2K16,X360,2K Sports,Sports,N/A,0.85m,0.05m,N/A,0.11m,29th Sep 15
897,Carnival Games,DS,2K Play,Misc,N/A,1.22m,0.63m,N/A,0.19m,08th Jul 08
1720,Star Wars Episode III: Revenge of the Sith,XB,LucasArts,Action,N/A,0.82m,0.38m,N/A,0.04m,04th May 05
2280,Mortal Kombat Trilogy,N64,Midway Games,Fighting,N/A,0.72m,0.22m,N/A,0.02m,31st Oct 96
1255,Spyro 2: Season of Flame,GBA,Vivendi Games,Platform,N/A,0.85m,0.65m,N/A,0.08m,25th Sep 02
1331,The Simpsons Game,PS2,Electronic Arts,Platform,N/A,0.35m,0.03m,N/A,1.13m,30th Oct 07
2410,Colin McRae Rally 2.0,PS,Codemasters,Racing,8.3,0.02m,0.80m,0.02m,0.07m,05th Dec 00
3420,Bolt,DS,Disney Interactive Studios,Adventure,N/A,0.35m,0.21m,N/A,0.06m,18th Nov 08
2640,Twisted Metal (2012),PS3,Sony Computer Entertainment,Action,7.9,0.67m,0.07m,N/A,0.09m,14th Feb 12
116,The Legend of Zelda: Twilight Princess,Wii,Nintendo,Adventure,9.5,3.74m,2.16m,0.60m,0.69m,19th Nov 06
2711,Deca Sports 2,Wii,Hudson Soft,Sports,N/A,0.31m,0.34m,0.09m,0.07m,29th Sep 09
3261,Fire Emblem Echoes: Shadows of Valentia,3DS,Nintendo,Role-Playing,8.3,0.26m,0.15m,0.21m,0.04m,19th May 17
3520,Call of Juarez: Bound in Blood,X360,Ubisoft,Shooter,7.6,0.30m,0.24m,0.00m,0.06m,30th Jun 09
911,Donkey Kong Country Returns,3DS,Nintendo,Platform,N/A,0.79m,0.67m,0.42m,0.14m,24th May 13
2697,EarthBound,SNES,Nintendo,Role-Playing,N/A,N/A,N/A,0.81m,N/A,01st Jun 95
1877,Derby Stallion III,SNES,ASCII Entertainment,Sports,N/A,N/A,N/A,1.15m,0.00m,20th Jan 95
940,Uncharted: The Lost Legacy,PS4,Sony Computer Entertainment,Action,N/A,0.45m,1.17m,0.04m,0.30m,22nd Aug 17
3714,Trivial Pursuit,Wii,Electronic Arts,Misc,7.3,0.20m,0.30m,N/A,0.06m,10th Mar 09
1774,The Magical Quest starring Mickey Mouse (all region sales),SNES,Capcom,Platform,N/A,0.66m,0.17m,0.35m,0.03m,01st Dec 92
1518,Dragon Quest III: Soshite Densetsu e...,SNES,Enix,Role-Playing,N/A,N/A,N/A,1.36m,0.00m,06th Dec 96
938,Rad Racer,NES,Nintendo,Racing,N/A,1.13m,0.37m,0.41m,0.05m,01st Jan 87
3681,Hasbro Family Game Night,PS2,Electronic Arts,Misc,N/A,0.28m,0.22m,N/A,0.07m,11th Nov 08
869,Wipeout: The Game,Wii,Activision,Misc,N/A,1.94m,N/A,N/A,0.14m,22nd Jun 10
1276,MySims Kingdom,DS,Electronic Arts,Simulation,N/A,0.80m,0.59m,0.01m,0.16m,28th Oct 08
372,Battlefield 4,PS3,Electronic Arts,Shooter,8.7,1.31m,1.50m,0.27m,0.55m,29th Oct 13
2580,Burnout 2: Point of Impact,PS2,Acclaim Entertainment,Racing,N/A,0.42m,0.32m,N/A,0.11m,30th Sep 02
3521,Jaws Unleashed,PS2,Majesco,Action,N/A,0.50m,0.02m,N/A,0.08m,23rd May 06
3793,DS Bimoji Training,DS,Nintendo,Misc,N/A,N/A,N/A,0.56m,N/A,13th Mar 08
1916,Mirror's Edge,PS3,Electronic Arts,Action,7.7,0.31m,0.59m,0.02m,0.21m,11th Nov 08
2630,Brute Force,XB,Microsoft,Shooter,N/A,0.62m,0.18m,0.01m,0.03m,27th May 03
666,Deca Sports,Wii,Hudson Soft,Sports,5.3,1.11m,0.86m,0.29m,0.25m,13th May 08
2946,Tiger Woods PGA Tour 08,PS3,Electronic Arts,Sports,N/A,0.22m,0.38m,N/A,0.14m,28th Aug 07
3485,Harry Potter and the Goblet of Fire,GBA,Electronic Arts,Adventure,6.0,0.44m,0.16m,N/A,0.01m,08th Nov 05
3095,LEGO Rock Band,Wii,Warner Bros. Interactive,Misc,6.8,0.41m,0.22m,N/A,0.06m,03rd Nov 09
1773,Star Wars Episode 1: Jedi Power Battles,PS,LucasArts,Action,N/A,0.66m,0.48m,0.01m,0.06m,31st Mar 00
1511,Need for Speed: The Run,X360,Electronic Arts,Racing,5.5,0.63m,0.57m,0.00m,0.16m,15th Nov 11
145,World of Warcraft,PC,Blizzard Entertainment,MMO,9.2,0.11m,6.23m,N/A,N/A,23rd Nov 04
2260,Band Hero,Wii,Activision,Misc,7.4,0.59m,0.29m,N/A,0.09m,03rd Nov 09
212,Guitar Hero II,PS2,RedOctane,Misc,9.2,3.81m,0.63m,N/A,0.68m,07th Nov 06
3747,The Sims: Bustin' Out,XB,Electronic Arts,Simulation,N/A,0.40m,0.14m,N/A,0.02m,15th Dec 03
1109,Imagine: Teacher,DS,Ubisoft,Simulation,N/A,0.70m,0.83m,N/A,0.19m,12th Aug 08
1282,BioShock 2,PS3,2K Games,Shooter,8.5,0.85m,0.46m,0.02m,0.22m,09th Feb 10
3465,Texas Hold 'Em Poker,GBA,Majesco,Misc,N/A,0.44m,0.16m,N/A,0.01m,01st Nov 04
2223,LEGO Jurassic World,X360,Warner Bros. Interactive Entertainment,Action,N/A,0.50m,0.40m,N/A,0.08m,12th Jun 15
1859,Jet Force Gemini,N64,Rare,Shooter,8.1,0.78m,0.28m,0.07m,0.02m,30th Sep 99
3499,Tony Hawk's Underground,GBA,Activision,Sports,N/A,0.43m,0.16m,N/A,0.01m,27th Oct 03
3388,Buzz Lightyear of Star Command,PS,Activision,Platform,N/A,0.35m,0.24m,N/A,0.04m,26th Sep 00
2159,Wall-E,Wii,THQ,Platform,N/A,0.51m,0.40m,N/A,0.11m,24th Jun 08
3056,WWE SmackDown vs. Raw 2011,PSP,THQ,Fighting,N/A,0.22m,0.31m,N/A,0.17m,26th Oct 10
450,Professor Layton and the Unwound Future,DS,Nintendo,Adventure,8.4,0.61m,1.58m,0.82m,0.27m,12th Sep 10
1977,GRID,PS3,Codemasters,Racing,8.6,0.31m,0.57m,0.03m,0.19m,03rd Jun 08
1745,Mario Power Tennis,GC,Nintendo,Sports,8.1,0.58m,0.16m,0.46m,0.03m,08th Nov 04
1928,ModNation Racers,PS3,Sony Computer Entertainment,Racing,8.1,0.50m,0.40m,0.06m,0.16m,25th May 10
439,English Training: Have Fun Improving Your Skills!,DS,Nintendo,Misc,N/A,N/A,0.99m,2.32m,0.02m,27th Oct 06
1588,Dragon Ball: Xenoverse 2,PS4,Namco Bandai Games,Action,7.1,0.43m,0.56m,0.14m,0.19m,25th Oct 16
2583,Darksiders II,PS3,THQ,Action-Adventure,8.3,0.35m,0.37m,0.01m,0.13m,14th Aug 12
2242,WWE SmackDown vs Raw 2008,Wii,THQ,Fighting,N/A,0.38m,0.50m,N/A,0.11m,13th Nov 07
1356,Tom Clancy's Ghost Recon: Future Soldier,X360,Ubisoft,Shooter,N/A,0.94m,0.40m,0.02m,0.13m,22nd May 12
3011,Mx vs. ATV Reflex,X360,THQ,Racing,7.4,0.52m,0.14m,N/A,0.06m,01st Dec 09
2922,Sniper Elite 3,PS4,505 Games,Misc,N/A,0.25m,0.37m,N/A,0.12m,01st Jul 14
1822,R.B.I. Baseball 3,NES,Tengen,Sports,N/A,0.10m,N/A,1.08m,N/A,01st Jan 91
385,Forza Horizon 3,XOne,Microsoft Game Studios,Racing,8.3,1.42m,1.86m,0.02m,0.28m,27th Sep 16
289,Daxter,PSP,Sony Computer Entertainment,Platform,8.6,2.45m,1.02m,N/A,0.77m,14th Mar 06
2487,Buzz! Quiz TV,PS3,Sony Computer Entertainment,Misc,7.9,0.28m,0.47m,N/A,0.13m,23rd Sep 08
1590,World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment,MMO,9.3,0.01m,0.13m,N/A,1.18m,13th Nov 08
246,LEGO Star Wars: The Complete Saga,DS,LucasArts,Action,7.8,2.83m,1.49m,N/A,0.45m,06th Nov 07
127,Zumba Fitness,Wii,Majesco,Sports,N/A,3.47m,2.62m,N/A,0.67m,18th Nov 10
2965,Oddworld: Munch's Oddysee,XB,Microsoft,Platform,N/A,0.54m,0.16m,N/A,0.03m,06th Nov 01
3344,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,Action,8.2,0.55m,0.03m,N/A,0.05m,12th Sep 06
459,L.A. Noire,PS3,Rockstar Games,Adventure,9.1,1.29m,1.31m,0.12m,0.49m,15th Nov 11
1134,WCW/NWO Thunder,PS,THQ,Fighting,N/A,1.10m,0.48m,0.04m,0.07m,31st Dec 98
878,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,Konami,Strategy,N/A,1.64m,0.36m,N/A,0.07m,15th Oct 02
1908,Dragon Quest VIII: Journey of the Cursed King,3DS,Square Enix,Role-Playing,N/A,0.13m,0.11m,0.88m,0.02m,20th Jan 17
1459,LEGO Indiana Jones 2: The Adventure Continues,Wii,LucasArts,Adventure,7.5,0.90m,0.38m,N/A,0.13m,17th Nov 09
