,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
2137,Donkey Kong Land III,GB,Nintendo,Platform,N/A,0.68m,0.31m,N/A,0.04m,01st Sep 97
1613,Tekken 6,X360,Namco Bandai,Fighting,7.8,0.71m,0.41m,0.05m,0.13m,27th Oct 09
202,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Role-Playing,8.6,0.65m,0.75m,3.61m,0.20m,15th Nov 05
3709,Dynasty Warriors 5: Xtreme Legends,PS2,KOEI,Action,N/A,0.11m,0.08m,0.35m,0.03m,16th Nov 05
695,Ice Hockey,NES,Nintendo,Sports,N/A,1.27m,0.32m,0.78m,0.05m,01st Mar 88
2373,Phoenix Wright: Ace Attorney,DS,Capcom,Adventure,8.1,0.44m,0.05m,0.39m,0.05m,12th Oct 05
2438,3Xtreme,PS,989 Studios,Action,2.9,0.50m,0.34m,N/A,0.06m,31st Mar 99
2294,Madden NFL 25,PS4,EA Sports,Sports,7.4,0.64m,0.14m,N/A,0.17m,15th Nov 13
66,Super Mario 64 DS,DS,Nintendo,Platform,N/A,5.01m,3.08m,1.25m,0.97m,20th Nov 04
959,Dishonored 2,PS4,Bethesda Softworks,Action,N/A,0.60m,1.02m,0.01m,0.31m,10th Nov 16
2827,Conflict: Desert Storm II - Back to Bagdhad,PS2,Gotham Games,Shooter,N/A,0.38m,0.29m,N/A,0.10m,08th Oct 03
1775,Need for Speed Underground,GC,Electronic Arts,Racing,N/A,0.69m,0.48m,0.01m,0.03m,17th Nov 03
14,Kinect Adventures!,X360,Microsoft,Misc,6.7,15.08m,4.97m,0.24m,1.81m,04th Nov 10
3009,Mobile Suit Gundam: Encounters in Space,PS2,Bandai,Simulation,N/A,0.05m,0.04m,0.61m,0.01m,05th Dec 03
240,Horizon: Zero Dawn,PS4,Sony Computer Entertainment,Action,8.4,1.67m,2.17m,0.27m,0.75m,28th Feb 17
1711,Ratchet: Deadlocked,PS2,Sony Computer Entertainment,Shooter,N/A,0.85m,0.03m,0.22m,0.14m,25th Oct 05
3214,London 2012: The Official Video Game of the Olympic Games,PS3,Sega,Sports,6.2,0.06m,0.49m,N/A,0.12m,26th Jun 12
762,Pro Evolution Soccer 2010,PS3,Konami,Sports,7.0,0.30m,1.27m,0.46m,0.26m,03rd Nov 09
256,Tomb Raider,PS,Eidos Interactive,Action,8.9,2.29m,1.97m,0.13m,0.24m,14th Nov 96
3640,FIFA: Road to  World Cup 98,N64,EA Sports,Sports,N/A,0.15m,0.39m,N/A,0.03m,30th Nov 97
919,NBA 2K17,XOne,2K Sports,Sports,8.8,1.69m,0.10m,N/A,0.21m,16th Sep 16
2415,Skylanders: Trap Team,X360,Activision,Platform,N/A,0.55m,0.27m,N/A,0.08m,05th Oct 14
188,Final Fantasy XIII,PS3,Square Enix,Role-Playing,8.0,1.75m,1.23m,1.87m,0.51m,09th Mar 10
3047,South Park,PS,Acclaim Entertainment,Shooter,1.7,0.39m,0.27m,N/A,0.05m,30th Sep 99
1507,Pokken Tournament,WiiU,Nintendo,Fighting,7.6,0.68m,0.40m,0.18m,0.11m,18th Mar 16
1368,Major League Baseball 2K5,PS2,2K Sports,Sports,N/A,0.72m,0.56m,N/A,0.19m,28th Feb 05
764,FIFA Soccer 09,PS2,Electronic Arts,Sports,N/A,0.38m,0.07m,0.01m,1.82m,14th Oct 08
3279,Drakengard,PS2,Square Enix,Role-Playing,N/A,0.19m,0.15m,0.26m,0.05m,02nd Mar 04
740,Lego Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment,Action,N/A,1.26m,0.87m,N/A,0.20m,22nd Oct 13
3041,WarioWare  Inc.: Mega Party Game$,GC,Nintendo,Puzzle,N/A,0.20m,0.05m,0.44m,0.02m,06th Apr 04
1842,Cool Boarders 4,PS,989 Studios,Sports,N/A,0.65m,0.44m,N/A,0.08m,01st Jan 99
3371,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,Bandai,Fighting,N/A,N/A,N/A,0.63m,N/A,04th Dec 03
956,FIFA Soccer 09,X360,Electronic Arts,Sports,8.7,0.49m,1.26m,0.01m,0.18m,14th Oct 08
692,Riven: The Sequel to Myst,PC,Red Orb,Adventure,N/A,1.52m,0.82m,N/A,0.10m,29th Oct 97
1161,Destiny,PS3,Activision,Shooter,N/A,0.69m,0.59m,0.13m,0.26m,09th Sep 14
3017,Madden NFL 2003,XB,EA Sports,Sports,N/A,0.67m,0.02m,N/A,0.03m,12th Aug 02
3375,X-Man,2600,Unknown,Action,N/A,0.58m,0.04m,N/A,0.01m,01st Jan 83
2986,Rabbids Go Home,DS,Ubisoft,Platform,8.8,0.35m,0.30m,N/A,0.07m,03rd Nov 09
2276,Tom Clancy's Ghost Recon: Future Soldier,PS3,Ubisoft,Shooter,N/A,0.41m,0.33m,0.09m,0.13m,22nd May 12
2082,Defender,2600,Atari,Shooter,N/A,0.99m,0.05m,N/A,0.01m,01st Jan 81
3764,Tetris Party Deluxe,Wii,Majesco,Puzzle,7.3,0.33m,0.16m,0.02m,0.05m,01st Jun 10
1244,Sonic Generations,PS3,Sega,Platform,7.3,0.60m,0.72m,0.02m,0.25m,01st Nov 11
2148,Shrek 2,GC,Activision,Platform,6.9,0.73m,0.26m,0.01m,0.03m,28th Apr 04
3424,Shellshock: Nam 67,PS2,Eidos Interactive,Shooter,N/A,0.30m,0.24m,N/A,0.08m,14th Sep 04
2708,Star Wars Rogue Squadron III: Rebel Strike,GC,LucasArts,Simulation,8.3,0.62m,0.16m,N/A,0.02m,15th Oct 03
1576,UFC Undisputed 2010,X360,THQ,Fighting,8.6,0.90m,0.31m,0.00m,0.11m,25th May 10
368,MySims,DS,Electronic Arts,Simulation,6.7,1.58m,1.60m,0.08m,0.40m,18th Sep 07
2975,Beyblade VForce: Ultimate Blader Jam,GBA,Atari,Action,N/A,0.52m,0.19m,N/A,0.01m,18th Nov 03
1120,Beyond: Two Souls,PS3,Sony Computer Entertainment,Misc,N/A,0.52m,0.86m,0.06m,0.26m,08th Oct 13
490,World Class Track Meet,NES,Bandai,Sports,N/A,1.92m,0.45m,0.64m,0.07m,01st Sep 87
1200,Dead Rising 3,XOne,Microsoft Game Studios,Action,N/A,1.06m,0.40m,0.01m,0.15m,22nd Nov 13
67,Just Dance 3,Wii,Ubisoft,Misc,7.5,5.95m,3.13m,N/A,1.06m,07th Oct 11
815,Need for Speed Rivals,PS4,Electronic Arts,Racing,N/A,0.75m,1.05m,0.03m,0.34m,15th Nov 13
1148,We Ski,Wii,Namco Bandai,Sports,7.1,0.97m,0.41m,0.14m,0.15m,13th May 08
3377,FIFA Soccer 2002,PS2,EA Sports,Sports,N/A,0.31m,0.24m,N/A,0.08m,01st Nov 01
2403,Dynasty Warriors 7,PS3,Tecmo Koei,Action,5.8,0.25m,0.14m,0.46m,0.06m,29th Mar 11
3225,Finding Nemo,XB,THQ,Action,N/A,0.48m,0.16m,N/A,0.02m,09th May 03
3352,Sim Theme Park,PS,Electronic Arts,Strategy,8.5,0.35m,0.24m,N/A,0.04m,24th Oct 99
2052,NCAA Football 99,PS,EA Sports,Sports,N/A,0.59m,0.40m,N/A,0.07m,01st Aug 98
3508,MonHun Nikki: Poka Poka Ailu Mura,PSP,Capcom,Role-Playing,N/A,N/A,N/A,0.60m,N/A,26th Aug 10
3725,God of War: Origins Collection,PS3,Sony Computer Entertainment,Action,8.6,0.39m,0.08m,0.02m,0.07m,13th Sep 11
3416,Disney's 102 Dalmatians: Puppies to the Rescue,PS,Eidos Interactive,Platform,N/A,0.34m,0.23m,N/A,0.04m,08th Nov 00
544,Cooking Mama: Cook Off,Wii,Majesco,Simulation,5.9,1.41m,1.12m,0.05m,0.30m,20th Mar 07
950,Kirby Squeak Squad,DS,Nintendo,Platform,7.3,0.78m,0.03m,1.05m,0.08m,06th Dec 06
1333,SoulCalibur II,GC,Namco,Fighting,9.2,0.99m,0.32m,0.11m,0.08m,27th Aug 03
460,Baseball,NES,Nintendo,Sports,N/A,0.73m,0.10m,2.35m,0.02m,01st Oct 85
2628,WWE SmackDown vs. Raw 2009,Wii,THQ,Fighting,8.2,0.44m,0.31m,N/A,0.08m,09th Nov 08
628,ESPN NFL 2K5,PS2,Sega,Sports,N/A,2.15m,0.12m,N/A,0.36m,20th Jul 04
96,Star Wars Battlefront (2015),PS4,Electronic Arts,Shooter,7.1,3.28m,3.14m,0.23m,1.29m,17th Nov 15
999,The Legend of Zelda: Oracle of Seasons,GBC,Nintendo,Adventure,9.3,0.87m,0.52m,0.41m,0.06m,13th May 01
3522,Puyo Puyo Sun,SAT,Compile,Puzzle,N/A,N/A,N/A,0.60m,N/A,14th Feb 97
3343,Disney Sing It: Party Hits,Wii,Disney Interactive Studios,Misc,N/A,0.48m,0.10m,N/A,0.05m,28th Sep 10
1905,Super R.C. Pro-Am,GB,Nintendo,Racing,N/A,0.58m,0.37m,0.15m,0.04m,01st Oct 91
2980,James Bond 007: Agent Under Fire,GC,Electronic Arts,Shooter,7.5,0.56m,0.15m,N/A,0.02m,13th Mar 02
2529,The Evil Within,PS3,Bethesda Softworks,Misc,N/A,0.27m,0.35m,0.13m,0.12m,14th Oct 14
2020,Ready 2 Rumble Boxing,PS,Midway Games,Sports,7.6,0.60m,0.41m,N/A,0.07m,31st Oct 99
1832,One Piece Pirate Warriors,PS3,Namco Bandai Games,Action,N/A,0.01m,0.24m,0.86m,0.06m,25th Sep 12
1503,A Collection of Activision Classic Games for the Atari 2600,PS,Activision,Misc,3.8,0.76m,0.52m,N/A,0.09m,23rd Sep 98
646,Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,Platform,9.1,1.31m,0.74m,0.31m,0.22m,03rd Nov 04
3297,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,Namco Bandai,Misc,N/A,N/A,N/A,0.65m,N/A,24th Apr 08
1973,Popeye,NES,Nintendo,Platform,N/A,0.51m,0.12m,0.45m,0.02m,01st Jun 86
2619,Duke Nukem Forever,X360,2K Games,Shooter,4.3,0.52m,0.25m,N/A,0.07m,14th Jun 11
2374,NCAA Football 11,X360,EA Sports,Sports,8.5,0.86m,N/A,N/A,0.06m,13th Jul 10
930,Fire Emblem Fates,3DS,Nintendo,Role-Playing,N/A,0.99m,0.31m,0.53m,0.14m,19th Feb 16
446,Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,Fighting,N/A,1.77m,0.95m,N/A,0.57m,14th Apr 15
1630,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,TDK Mediactive,Platform,N/A,0.93m,0.34m,N/A,0.02m,01st Jul 03
2378,007: The World is not Enough,PS,Electronic Arts,Shooter,6.4,0.51m,0.35m,N/A,0.06m,06th Nov 00
1268,Fight Night Round 3,PS2,EA Sports,Fighting,N/A,1.07m,0.40m,N/A,0.10m,20th Feb 06
3660,Dragon Ball Z: Chou Saiya Densetsu,SNES,Bandai,Role-Playing,N/A,N/A,N/A,0.58m,N/A,25th Jan 92
502,Rayman,PS,Ubisoft,Platform,7.0,1.54m,1.33m,N/A,0.16m,01st Sep 95
853,Derby Stallion,PS,ASCII Entertainment,Sports,N/A,N/A,N/A,1.96m,0.14m,17th Jul 97
924,Kingdom Hearts 358/2 Days,DS,Square Enix,Role-Playing,7.5,1.06m,0.26m,0.53m,0.13m,29th Sep 09
2085,Derby Stallion 96,SNES,ASCII Entertainment,Sports,N/A,N/A,N/A,1.04m,0.01m,15th Mar 96
3523,Half-Life,PS2,Sierra Entertainment,Shooter,8.4,0.29m,0.23m,N/A,0.08m,11th Nov 01
3656,Shrek 2: Beg for Mercy,GBA,Activision,Adventure,N/A,0.42m,0.15m,N/A,0.01m,27th Oct 04
1642,Kingdom Hearts HD I.5 + II.5 ReMIX,PS4,Square Enix,Role-Playing,N/A,0.55m,0.38m,0.15m,0.19m,28th Mar 17
3236,Street Fighter Anniversary Collection,PS2,Capcom,Fighting,N/A,0.32m,0.25m,N/A,0.08m,31st Aug 04
1014,Phineas and Ferb,DS,Disney Interactive Studios,Action,N/A,1.33m,0.37m,N/A,0.15m,03rd Feb 09
2767,Yars' Revenge,2600,Atari,Shooter,N/A,0.73m,0.04m,N/A,0.01m,01st May 82
468,Assassin's Creed IV: Black Flag,PS4,Ubisoft,Action-Adventure,8.3,1.07m,1.55m,0.06m,0.51m,15th Nov 13
3237,Peppa Pig: Fun and Games,DS,Ubisoft,Misc,N/A,N/A,0.57m,N/A,0.09m,26th Mar 10
2016,Joust,2600,Atari,Platform,N/A,1.01m,0.06m,N/A,0.01m,01st Jan 83
2678,The Legend of Zelda: Four Swords Adventures,GC,Nintendo,Adventure,8.4,0.63m,0.16m,N/A,0.02m,07th Jun 04
3245,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,Disney Interactive Studios,Adventure,N/A,0.39m,0.21m,N/A,0.06m,25th May 10
2982,Indiana Jones and the Staff of Kings,Wii,LucasArts,Action,5.1,0.36m,0.29m,N/A,0.07m,09th Jun 09
2037,Skylanders Giants,PS3,Activision,Misc,N/A,0.38m,0.52m,N/A,0.18m,21st Oct 12
579,NBA Street,PS2,EA Sports BIG,Sports,N/A,2.19m,0.22m,N/A,0.38m,18th Jun 01
3537,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,Disney Interactive Studios,Misc,N/A,0.37m,0.16m,0.01m,0.06m,21st Oct 08
3705,Nazo no Murasame-Jou (FDS),NES,Nintendo,Action,N/A,N/A,N/A,0.57m,N/A,14th Apr 86
471,Ace Combat 04: Shattered Skies,PS2,Namco,Simulation,8.9,2.06m,0.56m,0.38m,0.17m,01st Nov 01
1046,NBA 2K18,XOne,2K Sports,Sports,7.7,1.47m,0.14m,N/A,0.19m,19th Sep 17
1062,High School Musical: Sing It!,Wii,Disney Interactive Studios,Misc,6.4,1.15m,0.45m,N/A,0.16m,30th Oct 07
1044,Mario + Rabbids: Kingdom Battle,NS,Ubisoft,Strategy,7.5,0.70m,0.79m,0.17m,0.13m,29th Aug 17
1747,Intelligent Qube,PS,Sony Computer Entertainment,Puzzle,7.4,0.13m,0.07m,1.00m,0.02m,30th Sep 97
2416,Super Momotarou Dentetsu III,SNES,Hudson Soft,Simulation,N/A,N/A,N/A,0.91m,0.00m,09th Dec 94
1540,FIFA Soccer 08,X360,EA Sports,Sports,N/A,0.31m,0.89m,0.01m,0.14m,09th Oct 07
1941,Guitar Hero 5,PS2,Activision,Misc,N/A,0.28m,0.30m,N/A,0.54m,01st Sep 09
1424,WWE SmackDown vs Raw 2008,X360,THQ,Fighting,7.3,0.92m,0.38m,0.00m,0.13m,13th Nov 07
3057,Ace Attorney Investigations: Miles Edgeworth,DS,Capcom,Adventure,7.7,0.23m,0.14m,0.30m,0.04m,16th Feb 10
355,Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,Platform,8.5,1.40m,1.40m,0.10m,0.86m,13th Feb 07
2177,Prince of Persia,X360,Ubisoft,Adventure,8.2,0.54m,0.34m,0.02m,0.10m,02nd Dec 08
52,Super Mario 3D Land,3DS,Nintendo,Platform,8.9,4.94m,3.33m,2.15m,0.83m,13th Nov 11
326,Namco Museum: 50th Anniversary,PS2,Namco,Misc,N/A,2.08m,1.35m,N/A,0.54m,30th Aug 05
689,Madden NFL 17,XOne,EA Sports,Sports,8.1,2.13m,0.05m,N/A,0.26m,23rd Aug 16
388,Assassin's Creed: Unity,XOne,Ubisoft,Action,N/A,2.34m,0.90m,0.00m,0.34m,11th Nov 14
2157,Madden NFL 07,XB,EA Sports,Sports,8.4,0.97m,0.03m,N/A,0.03m,22nd Aug 06
261,Guitar Hero III: Legends of Rock,Wii,RedOctane,Misc,8.6,3.04m,1.12m,0.00m,0.44m,28th Oct 07
449,Gran Turismo (PSP),PSP,Sony Computer Entertainment,Racing,N/A,0.51m,1.60m,0.31m,0.87m,01st Oct 09
2622,Forza Horizon 2,X360,Microsoft Game Studios,Racing,N/A,0.35m,0.41m,0.00m,0.07m,30th Sep 14
3016,The Lord of the Rings: The Two Towers,XB,Electronic Arts,Action,N/A,0.45m,0.24m,N/A,0.03m,30th Dec 02
3144,Naruto: Clash of Ninja,GC,D3 Publisher,Fighting,N/A,0.53m,0.14m,N/A,0.02m,07th Mar 06
1386,Midway Arcade Treasures,PS2,Midway Games,Misc,N/A,0.72m,0.56m,N/A,0.19m,18th Nov 03
2368,Operation Flashpoint: Dragon Rising,X360,Codemasters,Shooter,7.4,0.36m,0.45m,0.02m,0.10m,06th Oct 09
1505,Pocket Monsters Stadium (Japan) (total JP sales),N64,Nintendo,Action,N/A,N/A,N/A,1.37m,0.00m,01st Aug 98
1603,Pitfall II: Lost Caverns,2600,Activision,Platform,N/A,1.22m,0.07m,N/A,0.02m,16th Sep 83
2626,Dragon Age II,PS3,Electronic Arts,Role-Playing,7.7,0.40m,0.26m,0.05m,0.12m,08th Mar 11
489,Madden NFL 2002,PS2,EA Sports,Sports,N/A,2.50m,0.16m,0.01m,0.42m,19th Aug 01
3755,Cabela's Big Game Hunter 2005 Adventures,PS2,Activision,Sports,N/A,0.28m,0.21m,N/A,0.07m,10th Nov 04
1946,Counter-Strike,XB,Microsoft Game Studios,Shooter,N/A,0.85m,0.23m,N/A,0.04m,18th Nov 03
394,Grand Theft Auto: Liberty City Stories,PS2,Rockstar Games,Action,8.3,1.56m,1.40m,0.07m,0.50m,06th Jun 06
2182,Breath of Fire III,PS,Capcom,Role-Playing,7.6,0.29m,0.19m,0.46m,0.07m,30th Apr 98
1819,Pole Position,2600,Atari,Racing,N/A,1.10m,0.07m,N/A,0.01m,01st Jan 83
2958,MLB 10: The Show,PS3,Sony Computer Entertainment,Sports,8.6,0.67m,N/A,N/A,0.06m,02nd Mar 10
2383,Nickelodeon Fit,Wii,2K Play,Sports,N/A,0.76m,0.09m,N/A,0.07m,08th Nov 10
1359,Dirge of Cerberus: Final Fantasy VII,PS2,Square Enix,Shooter,5.7,0.47m,0.37m,0.52m,0.12m,15th Aug 06
3532,Littlest Pet Shop: Garden,DS,Electronic Arts,Simulation,N/A,0.31m,0.23m,N/A,0.06m,14th Oct 08
3379,Cooking Mama 4: Kitchen Magic!,3DS,Majesco,Simulation,N/A,0.50m,0.07m,N/A,0.06m,15th Nov 11
2324,Colin McRae Rally 04,PS2,Codemasters,Racing,N/A,0.01m,0.71m,0.01m,0.21m,19th Sep 03
3024,Godzilla: Destroy All Monsters Melee,GC,Atari,Fighting,7.5,0.55m,0.14m,N/A,0.02m,08th Oct 02
64,Animal Crossing: New Leaf,3DS,Nintendo,Simulation,8.6,2.34m,2.89m,4.79m,0.46m,09th Jun 13
2247,Rocksmith 2014,X360,Ubisoft,Music,8.4,0.72m,0.16m,0.00m,0.10m,22nd Oct 13
782,Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft,Shooter,N/A,1.32m,0.71m,N/A,0.20m,01st Dec 15
304,Assassin's Creed: Unity,PS4,Ubisoft,Misc,N/A,1.22m,2.19m,0.09m,0.65m,11th Nov 14
568,Myst,PC,Broderbund,Adventure,8.9,0.02m,2.79m,N/A,N/A,01st Jan 95
3255,Shaun White Snowboarding,PS3,Ubisoft,Sports,6.0,0.31m,0.24m,0.01m,0.10m,16th Nov 08
2655,Sniper: Ghost Warrior,PS3,City Interactive,Shooter,4.5,0.29m,0.35m,0.04m,0.14m,28th Jun 11
2024,Star Fox: Assault,GC,Nintendo,Shooter,6.6,0.68m,0.18m,0.19m,0.03m,14th Feb 05
1674,Devil Dice,PS,THQ,Puzzle,N/A,0.05m,0.03m,1.10m,0.08m,30th Jun 98
3694,Ben 10: Alien Force,PS2,D3 Publisher,Action,N/A,0.22m,0.02m,N/A,0.33m,28th Oct 08
358,Monster Hunter: World,PS4,Capcom,Action,9.3,0.63m,0.79m,2.03m,0.28m,26th Jan 18
1894,Tenchu: Wrath of Heaven,PS2,Activision,Action,N/A,0.44m,0.34m,0.25m,0.11m,03rd Mar 03
2849,Street Fighter Alpha: Warriors' Dreams,PS,Capcom,Fighting,N/A,0.17m,0.11m,0.43m,0.05m,21st Dec 95
687,LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive,Adventure,7.9,1.29m,0.94m,N/A,0.22m,29th Jun 10
2716,Pro Evolution Soccer 2010,PSP,Konami,Sports,N/A,0.09m,0.33m,0.20m,0.18m,10th Nov 09
3274,World of Dragon Warrior - Torneko: The Last Hope,PS,Enix,Role-Playing,N/A,0.02m,0.01m,0.58m,0.04m,15th Nov 00
2960,Yoshi,GB,Nintendo,Puzzle,N/A,N/A,N/A,0.73m,N/A,01st Jul 92
1986,Rocket League,XOne,505 Games,Sports,8.0,0.40m,0.61m,N/A,0.08m,05th Jul 16
3363,Dogz,GBA,Ubisoft,Simulation,4.1,0.45m,0.17m,N/A,0.01m,17th Nov 05
2597,Madden NFL 09 All-Play,Wii,EA Sports,Sports,N/A,0.77m,0.01m,N/A,0.06m,12th Aug 08
3097,Disney's Chicken Little,GBA,Buena Vista,Platform,7.9,0.50m,0.18m,N/A,0.01m,20th Oct 05
2515,Kingdoms of Amalur: Reckoning,X360,Electronic Arts,Role-Playing,N/A,0.55m,0.24m,0.01m,0.07m,07th Feb 12
3722,FIFA 15,Wii,EA Sports,Sports,N/A,0.15m,0.37m,N/A,0.04m,23rd Sep 14
1938,Need for Speed: Most Wanted (2012),PSV,Electronic Arts,Racing,N/A,0.33m,0.53m,0.01m,0.25m,30th Oct 12
1870,Wario Land: Shake It!,Wii,Nintendo,Platform,7.3,0.59m,0.31m,0.15m,0.10m,22nd Sep 08
2717,Prince of Persia: Warrior Within,XB,Ubisoft,Adventure,N/A,0.48m,0.28m,N/A,0.04m,30th Nov 04
3622,Sly Cooper: Thieves in Time,PS3,Sony Computer Entertainment,Platform,N/A,0.35m,0.13m,N/A,0.10m,05th Feb 13
3478,Major League Baseball 2K9,X360,2K Sports,Sports,N/A,0.56m,N/A,N/A,0.05m,03rd Mar 09
1113,Need for Speed Underground,XB,Electronic Arts,Racing,N/A,1.09m,0.55m,N/A,0.07m,17th Nov 03
2950,FIFA: Road to World Cup 98,PS,EA Sports,Sports,N/A,0.14m,0.09m,0.46m,0.05m,01st Dec 97
747,James Bond 007: Everything or Nothing,PS2,Electronic Arts,Shooter,N/A,0.85m,1.06m,0.09m,0.32m,17th Feb 04
409,Destiny 2,PS4,Activision,Shooter,N/A,1.58m,1.24m,0.10m,0.58m,06th Sep 17
2396,Starsky & Hutch,PS2,Gotham Games,Racing,6.0,0.45m,0.35m,N/A,0.12m,09th Sep 03
3082,MLB 08: The Show,PS3,Sony Computer Entertainment,Sports,N/A,0.64m,N/A,N/A,0.05m,04th Mar 08
3051,Plants vs Zombies: Garden Warfare,XOne,Electronic Arts,Shooter,7.6,0.39m,0.25m,0.00m,0.06m,25th Feb 14
1779,FIFA Soccer 11,PSP,EA Sports,Sports,7.0,0.13m,0.70m,0.01m,0.36m,28th Sep 10
1964,Megamania,2600,Activision,Shooter,N/A,1.03m,0.06m,N/A,0.01m,01st Jan 82
3571,Kane & Lynch 2: Dog Days,PS3,Square Enix,Shooter,6.3,0.17m,0.28m,0.05m,0.10m,17th Aug 10
1007,Max Payne 3,PS3,Rockstar Games,Shooter,N/A,0.59m,0.93m,0.06m,0.27m,15th May 12
2503,ESPN NHL 2K5,PS2,Sega,Sports,N/A,0.43m,0.33m,N/A,0.11m,30th Aug 04
3795,Dora The Explorer: Dora Saves the Snow Princess,Wii,2K Play,Platform,N/A,0.49m,0.02m,N/A,0.04m,27th Oct 08
2722,Hasbro Family Game Night 3,Wii,Electronic Arts,Misc,N/A,0.46m,0.27m,N/A,0.07m,26th Oct 10
1558,MVP Baseball 2004,PS2,Electronic Arts,Sports,N/A,1.10m,0.06m,N/A,0.18m,09th Mar 04
3453,NFL Fever 2003,XB,Microsoft,Sports,N/A,0.46m,0.13m,N/A,0.02m,05th Aug 02
2420,Assassin's Creed,PC,Ubisoft,Adventure,7.6,0.01m,0.84m,N/A,0.06m,08th Apr 08
587,Missile Command,2600,Atari,Shooter,N/A,2.56m,0.17m,N/A,0.03m,01st Jan 81
2531,Triple Play 2002,PS2,EA Sports,Sports,N/A,0.43m,0.33m,N/A,0.11m,11th Mar 02
1608,Burnout 3: Takedown,XB,Electronic Arts,Racing,9.3,0.84m,0.43m,N/A,0.04m,07th Sep 04
2536,Ghostbusters: The Video Game,Wii,Atari,Action,7.6,0.59m,0.21m,N/A,0.07m,16th Jun 09
2692,Battle of Giants: Dinosaurs,DS,Ubisoft,Strategy,N/A,0.37m,0.35m,N/A,0.08m,21st Oct 08
739,Dragon Age: Inquisition,PS4,Electronic Arts,Role-Playing,N/A,1.07m,0.80m,0.08m,0.38m,18th Nov 14
1176,NBA Live 2003,PS2,EA Sports,Sports,N/A,1.25m,0.15m,0.03m,0.22m,08th Oct 02
2015,Pro Evolution Soccer 2014,PS3,Konami Digital Entertainment,Sports,8.3,0.03m,0.46m,0.51m,0.08m,24th Sep 13
122,Need for Speed Underground 2,PS2,Electronic Arts,Racing,8.3,2.71m,3.02m,0.08m,1.09m,15th Nov 04
2231,Tom Clancy's Splinter Cell: Blacklist,PS3,Ubisoft,Action-Adventure,8.3,0.34m,0.44m,0.06m,0.15m,20th Aug 13
2,Mario Kart Wii,Wii,Nintendo,Racing,8.2,15.80m,12.92m,3.80m,3.34m,27th Apr 08
1798,NHL 2002,PS2,EA Sports,Sports,N/A,0.59m,0.46m,N/A,0.15m,24th Sep 01
3354,Just Dance 3,PS3,Ubisoft,Misc,N/A,0.34m,0.21m,N/A,0.09m,06th Dec 11
808,Pro Evolution Soccer 2012,PS3,Konami,Sports,7.5,0.34m,0.97m,0.55m,0.32m,27th Sep 11
730,DriveClub,PS4,Sony Computer Entertainment,Racing,7.2,0.37m,1.62m,0.02m,0.36m,07th Oct 14
230,Link's Crossbow Training,Wii,Nintendo,Shooter,6.9,3.05m,1.17m,0.29m,0.46m,19th Nov 07
2484,Seiken Densetsu 3,SNES,Square,Role-Playing,N/A,N/A,N/A,0.89m,0.00m,30th Sep 95
3224,TV Show King Party,Wii,Ubisoft,Puzzle,N/A,0.18m,0.40m,N/A,0.08m,28th Oct 08
3072,Jade Empire,XB,Microsoft,Role-Playing,9.0,0.48m,0.19m,N/A,0.03m,12th Apr 05
844,Need for Speed: Hot Pursuit 2,PS2,Electronic Arts,Racing,8.7,1.68m,0.31m,0.02m,0.09m,01st Oct 02
383,The Simpsons: Road Rage,PS2,Electronic Arts,Racing,6.1,2.02m,1.17m,N/A,0.42m,24th Nov 01
38,Call of Duty: Black Ops II,PS3,Activision,Shooter,N/A,4.99m,5.88m,0.65m,2.28m,13th Nov 12
1059,Dragon Quest Monsters: Joker,DS,Square Enix,Role-Playing,7.6,0.23m,0.03m,1.49m,0.02m,06th Nov 07
3173,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,Rocket Company,Misc,N/A,N/A,N/A,0.67m,N/A,28th Sep 06
1972,Lode Runner,NES,Broderbund,Puzzle,N/A,N/A,N/A,1.10m,0.00m,01st Sep 87
1274,Final Fight,SNES,Capcom,Action,10.0,0.67m,0.17m,0.69m,0.03m,10th Nov 91
3069,SplashDown,PS2,Atari,Racing,N/A,0.34m,0.27m,N/A,0.09m,05th Nov 01
2973,Star Ocean: The Last Hope International,PS3,Square Enix,Role-Playing,8.1,0.28m,0.15m,0.22m,0.07m,09th Feb 10
1701,Lego Star Wars: The Force Awakens,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,N/A,0.29m,0.74m,0.02m,0.19m,28th Jun 16
3497,Wipeout: The Game,DS,Activision,Misc,N/A,0.56m,N/A,N/A,0.04m,22nd Jun 10
